d	date	day_of_week	cnt	w	dateY	dofw	sp	diao	ifworkday
2013-01-02	1	3	68.0	0	2013-01-02	3.0	1.0	1.0	1.0
2013-01-03	2	4	36.0	0	2013-01-03	4.0	1.0	1.0	1.0
2013-01-04	3	5	5565.0	0	2013-01-04	5.0			0.0
2013-01-05	4	6	4966.0	0	2013-01-05	6.0	0.0	1.0	0.0
2013-01-06	5	7	3346.0	0	2013-01-06	7.0	0.0	1.0	0.0
2013-01-07	6	1	3396.0	1	2013-01-07	1.0			0.0
2013-01-08	7	2	4146.0	1	2013-01-08	2.0			0.0
2013-01-09	8	3	3096.0	1	2013-01-09	3.0			0.0
2013-01-10	9	4	2713.0	1	2013-01-10	4.0			0.0
2013-01-11	10	5	2409.0	1	2013-01-11	5.0			0.0
2013-01-12	11	6	275.0	1	2013-01-12	6.0			1.0
2013-01-14	12	1	2735.0	2	2013-01-14	1.0			0.0
2013-01-15	13	2	2386.0	2	2013-01-15	2.0			0.0
2013-01-16	14	3	1901.0	2	2013-01-16	3.0			0.0
2013-01-17	15	4	6072.0	2	2013-01-17	4.0			0.0
2013-01-18	16	5	2716.0	2	2013-01-18	5.0			0.0
2013-01-19	17	6	216.0	2	2013-01-19	6.0			1.0
2013-01-20	18	7	22.0	2	2013-01-20	7.0			1.0
2013-01-21	19	1	3903.0	3	2013-01-21	1.0			0.0
2013-01-22	20	2	2700.0	3	2013-01-22	2.0			0.0
2013-01-23	21	3	2700.0	3	2013-01-23	3.0			0.0
2013-01-24	22	4	2073.0	3	2013-01-24	4.0			0.0
2013-01-25	23	5	1702.0	3	2013-01-25	5.0			0.0
2013-01-26	24	6	231.0	3	2013-01-26	6.0			1.0
2013-01-28	25	1	3377.0	4	2013-01-28	1.0			0.0
2013-01-29	26	2	3016.0	4	2013-01-29	2.0			0.0
2013-01-30	27	3	2586.0	4	2013-01-30	3.0			0.0
2013-01-31	28	4	1652.0	4	2013-01-31	4.0			0.0
2013-02-01	29	5	2726.0	4	2013-02-01	5.0			0.0
2013-02-02	30	6	279.0	4	2013-02-02	6.0			1.0
2013-02-03	31	7	23.0	4	2013-02-03	7.0			1.0
2013-02-04	32	1	4094.0	5	2013-02-04	1.0			0.0
2013-02-05	33	2	4059.0	5	2013-02-05	2.0			0.0
2013-02-06	34	3	3741.0	5	2013-02-06	3.0			0.0
2013-02-07	35	4	2567.0	5	2013-02-07	4.0			0.0
2013-02-08	36	5	761.0	5	2013-02-08	5.0			0.0
2013-02-14	37	4	19.0	6	2013-02-14	4.0	1.0	1.0	1.0
2013-02-15	38	5	13.0	6	2013-02-15	5.0	1.0	1.0	1.0
2013-02-16	39	6	2847.0	6	2013-02-16	6.0	0.0	1.0	0.0
2013-02-17	40	7	2936.0	6	2013-02-17	7.0	0.0	1.0	0.0
2013-02-18	41	1	2377.0	7	2013-02-18	1.0			0.0
2013-02-19	42	2	1740.0	7	2013-02-19	2.0			0.0
2013-02-20	43	3	2563.0	7	2013-02-20	3.0			0.0
2013-02-21	44	4	1896.0	7	2013-02-21	4.0			0.0
2013-02-22	45	5	1552.0	7	2013-02-22	5.0			0.0
2013-02-23	46	6	186.0	7	2013-02-23	6.0			1.0
2013-02-25	47	1	1874.0	8	2013-02-25	1.0			0.0
2013-02-26	48	2	1844.0	8	2013-02-26	2.0			0.0
2013-02-27	49	3	1919.0	8	2013-02-27	3.0			0.0
2013-02-28	50	4	1191.0	8	2013-02-28	4.0			0.0
2013-03-01	51	5	1816.0	8	2013-03-01	5.0			0.0
2013-03-02	52	6	87.0	8	2013-03-02	6.0			1.0
2013-03-04	53	1	1843.0	9	2013-03-04	1.0			0.0
2013-03-05	54	2	1900.0	9	2013-03-05	2.0			0.0
2013-03-06	55	3	1615.0	9	2013-03-06	3.0			0.0
2013-03-07	56	4	1461.0	9	2013-03-07	4.0			0.0
2013-03-08	57	5	1514.0	9	2013-03-08	5.0			0.0
2013-03-09	58	6	180.0	9	2013-03-09	6.0			1.0
2013-03-10	59	7	41.0	9	2013-03-10	7.0			1.0
2013-03-11	60	1	1933.0	10	2013-03-11	1.0			0.0
2013-03-12	61	2	1812.0	10	2013-03-12	2.0			0.0
2013-03-13	62	3	1763.0	10	2013-03-13	3.0			0.0
2013-03-14	63	4	1386.0	10	2013-03-14	4.0			0.0
2013-03-15	64	5	1345.0	10	2013-03-15	5.0			0.0
2013-03-16	65	6	113.0	10	2013-03-16	6.0			1.0
2013-03-18	66	1	1797.0	11	2013-03-18	1.0			0.0
2013-03-19	67	2	1889.0	11	2013-03-19	2.0			0.0
2013-03-20	68	3	1445.0	11	2013-03-20	3.0			0.0
2013-03-21	69	4	1452.0	11	2013-03-21	4.0			0.0
2013-03-22	70	5	1559.0	11	2013-03-22	5.0			0.0
2013-03-23	71	6	198.0	11	2013-03-23	6.0			1.0
2013-03-25	72	1	1739.0	12	2013-03-25	1.0			0.0
2013-03-26	73	2	1794.0	12	2013-03-26	2.0			0.0
2013-03-27	74	3	1464.0	12	2013-03-27	3.0			0.0
2013-03-28	75	4	1279.0	12	2013-03-28	4.0			0.0
2013-03-29	76	5	1601.0	12	2013-03-29	5.0			0.0
2013-03-30	77	6	171.0	12	2013-03-30	6.0			1.0
2013-03-31	78	7	22.0	12	2013-03-31	7.0			1.0
2013-04-01	79	1	744.0	13	2013-04-01	1.0			0.0
2013-04-02	80	2	2424.0	13	2013-04-02	2.0			0.0
2013-04-03	81	3	1959.0	13	2013-04-03	3.0			0.0
2013-04-04	82	4	60.0	13	2013-04-04	4.0	1.0	1.0	1.0
2013-04-05	83	5	51.0	13	2013-04-05	5.0	1.0	1.0	1.0
2013-04-06	84	6	30.0	13	2013-04-06	6.0	1.0		1.0
2013-04-07	85	7	1929.0	13	2013-04-07	7.0	0.0	1.0	0.0
2013-04-08	86	1	1745.0	14	2013-04-08	1.0			0.0
2013-04-09	87	2	2143.0	14	2013-04-09	2.0			0.0
2013-04-10	88	3	1709.0	14	2013-04-10	3.0			0.0
2013-04-11	89	4	1294.0	14	2013-04-11	4.0			0.0
2013-04-12	90	5	1527.0	14	2013-04-12	5.0			0.0
2013-04-13	91	6	198.0	14	2013-04-13	6.0			1.0
2013-04-15	92	1	2164.0	15	2013-04-15	1.0			0.0
2013-04-16	93	2	1631.0	15	2013-04-16	2.0			0.0
2013-04-17	94	3	1859.0	15	2013-04-17	3.0			0.0
2013-04-18	95	4	1447.0	15	2013-04-18	4.0			0.0
2013-04-19	96	5	1514.0	15	2013-04-19	5.0			0.0
2013-04-20	97	6	137.0	15	2013-04-20	6.0			1.0
2013-04-21	98	7	36.0	15	2013-04-21	7.0			1.0
2013-04-22	99	1	2104.0	16	2013-04-22	1.0			0.0
2013-04-23	100	2	1584.0	16	2013-04-23	2.0			0.0
2013-04-24	101	3	1449.0	16	2013-04-24	3.0			0.0
2013-04-25	102	4	1102.0	16	2013-04-25	4.0			0.0
2013-04-26	103	5	1774.0	16	2013-04-26	5.0			0.0
2013-04-27	104	6	1462.0	16	2013-04-27	6.0	0.0	1.0	0.0
2013-04-28	105	7	1626.0	16	2013-04-28	7.0	0.0	1.0	0.0
2013-04-29	106	1	73.0	17	2013-04-29	1.0	1.0	1.0	1.0
2013-05-02	107	4	2484.0	17	2013-05-02	4.0			0.0
2013-05-03	108	5	1723.0	17	2013-05-03	5.0			0.0
2013-05-04	109	6	104.0	17	2013-05-04	6.0			1.0
2013-05-06	110	1	2427.0	18	2013-05-06	1.0			0.0
2013-05-07	111	2	2587.0	18	2013-05-07	2.0			0.0
2013-05-08	112	3	2220.0	18	2013-05-08	3.0			0.0
2013-05-09	113	4	1142.0	18	2013-05-09	4.0			0.0
2013-05-10	114	5	1934.0	18	2013-05-10	5.0			0.0
2013-05-11	115	6	121.0	18	2013-05-11	6.0			1.0
2013-05-12	116	7	23.0	18	2013-05-12	7.0			1.0
2013-05-13	117	1	2509.0	19	2013-05-13	1.0			0.0
2013-05-14	118	2	2284.0	19	2013-05-14	2.0			0.0
2013-05-15	119	3	2068.0	19	2013-05-15	3.0			0.0
2013-05-16	120	4	1088.0	19	2013-05-16	4.0			0.0
2013-05-17	121	5	2030.0	19	2013-05-17	5.0			0.0
2013-05-18	122	6	38.0	19	2013-05-18	6.0			1.0
2013-05-20	123	1	1940.0	20	2013-05-20	1.0			0.0
2013-05-21	124	2	2342.0	20	2013-05-21	2.0			0.0
2013-05-22	125	3	5581.0	20	2013-05-22	3.0			0.0
2013-05-23	126	4	2333.0	20	2013-05-23	4.0			0.0
2013-05-24	127	5	1931.0	20	2013-05-24	5.0			0.0
2013-05-25	128	6	140.0	20	2013-05-25	6.0			1.0
2013-05-27	129	1	1794.0	21	2013-05-27	1.0			0.0
2013-05-28	130	2	2055.0	21	2013-05-28	2.0			0.0
2013-05-29	131	3	1658.0	21	2013-05-29	3.0			0.0
2013-05-30	132	4	1497.0	21	2013-05-30	4.0			0.0
2013-05-31	133	5	1161.0	21	2013-05-31	5.0			0.0
2013-06-01	134	6	113.0	21	2013-06-01	6.0			1.0
2013-06-02	135	7	14.0	21	2013-06-02	7.0			1.0
2013-06-03	136	1	2374.0	22	2013-06-03	1.0			0.0
2013-06-04	137	2	1885.0	22	2013-06-04	2.0			0.0
2013-06-05	138	3	1606.0	22	2013-06-05	3.0			0.0
2013-06-06	139	4	1690.0	22	2013-06-06	4.0			0.0
2013-06-07	140	5	1354.0	22	2013-06-07	5.0			0.0
2013-06-08	141	6	1266.0	22	2013-06-08	6.0	0.0	1.0	0.0
2013-06-09	142	7	1309.0	22	2013-06-09	7.0	0.0	1.0	0.0
2013-06-10	143	1	89.0	23	2013-06-10	1.0	1.0	1.0	1.0
2013-06-13	144	4	2265.0	23	2013-06-13	4.0			0.0
2013-06-14	145	5	1721.0	23	2013-06-14	5.0			0.0
2013-06-15	146	6	150.0	23	2013-06-15	6.0			1.0
2013-06-16	147	7	26.0	23	2013-06-16	7.0			1.0
2013-06-17	148	1	1612.0	24	2013-06-17	1.0			0.0
2013-06-18	149	2	2178.0	24	2013-06-18	2.0			0.0
2013-06-19	150	3	1539.0	24	2013-06-19	3.0			0.0
2013-06-20	151	4	1067.0	24	2013-06-20	4.0			0.0
2013-06-21	152	5	1325.0	24	2013-06-21	5.0			0.0
2013-06-22	153	6	85.0	24	2013-06-22	6.0			1.0
2013-06-23	154	7	36.0	24	2013-06-23	7.0			1.0
2013-06-24	155	1	1778.0	25	2013-06-24	1.0			0.0
2013-06-25	156	2	2336.0	25	2013-06-25	2.0			0.0
2013-06-26	157	3	1487.0	25	2013-06-26	3.0			0.0
2013-06-27	158	4	1025.0	25	2013-06-27	4.0			0.0
2013-06-28	159	5	1659.0	25	2013-06-28	5.0			0.0
2013-06-29	160	6	183.0	25	2013-06-29	6.0			1.0
2013-07-01	161	1	1819.0	26	2013-07-01	1.0			0.0
2013-07-02	162	2	1781.0	26	2013-07-02	2.0			0.0
2013-07-03	163	3	1924.0	26	2013-07-03	3.0			0.0
2013-07-04	164	4	1256.0	26	2013-07-04	4.0			0.0
2013-07-05	165	5	1526.0	26	2013-07-05	5.0			0.0
2013-07-06	166	6	108.0	26	2013-07-06	6.0			1.0
2013-07-07	167	7	14.0	26	2013-07-07	7.0			1.0
2013-07-08	168	1	1804.0	27	2013-07-08	1.0			0.0
2013-07-09	169	2	1615.0	27	2013-07-09	2.0			0.0
2013-07-10	170	3	1558.0	27	2013-07-10	3.0			0.0
2013-07-11	171	4	810.0	27	2013-07-11	4.0			0.0
2013-07-12	172	5	1603.0	27	2013-07-12	5.0			0.0
2013-07-13	173	6	94.0	27	2013-07-13	6.0			1.0
2013-07-14	174	7	23.0	27	2013-07-14	7.0			1.0
2013-07-15	175	1	2141.0	28	2013-07-15	1.0			0.0
2013-07-16	176	2	1759.0	28	2013-07-16	2.0			0.0
2013-07-17	177	3	1506.0	28	2013-07-17	3.0			0.0
2013-07-18	178	4	1271.0	28	2013-07-18	4.0			0.0
2013-07-19	179	5	1633.0	28	2013-07-19	5.0			0.0
2013-07-20	180	6	154.0	28	2013-07-20	6.0			1.0
2013-07-21	181	7	14.0	28	2013-07-21	7.0			1.0
2013-07-22	182	1	2028.0	29	2013-07-22	1.0			0.0
2013-07-23	183	2	2033.0	29	2013-07-23	2.0			0.0
2013-07-24	184	3	1346.0	29	2013-07-24	3.0			0.0
2013-07-25	185	4	1031.0	29	2013-07-25	4.0			0.0
2013-07-26	186	5	1290.0	29	2013-07-26	5.0			0.0
2013-07-27	187	6	42.0	29	2013-07-27	6.0			1.0
2013-07-29	188	1	1961.0	30	2013-07-29	1.0			0.0
2013-07-30	189	2	1751.0	30	2013-07-30	2.0			0.0
2013-07-31	190	3	1505.0	30	2013-07-31	3.0			0.0
2013-08-01	191	4	1477.0	30	2013-08-01	4.0			0.0
2013-08-02	192	5	1892.0	30	2013-08-02	5.0			0.0
2013-08-03	193	6	81.0	30	2013-08-03	6.0			1.0
2013-08-05	194	1	2100.0	31	2013-08-05	1.0			0.0
2013-08-06	195	2	1905.0	31	2013-08-06	2.0			0.0
2013-08-07	196	3	1682.0	31	2013-08-07	3.0			0.0
2013-08-08	197	4	1370.0	31	2013-08-08	4.0			0.0
2013-08-09	198	5	985.0	31	2013-08-09	5.0			0.0
2013-08-10	199	6	27.0	31	2013-08-10	6.0			1.0
2013-08-12	200	1	1804.0	32	2013-08-12	1.0			0.0
2013-08-13	201	2	1760.0	32	2013-08-13	2.0			0.0
2013-08-14	202	3	1951.0	32	2013-08-14	3.0			0.0
2013-08-15	203	4	1058.0	32	2013-08-15	4.0			0.0
2013-08-16	204	5	1150.0	32	2013-08-16	5.0			0.0
2013-08-17	205	6	363.0	32	2013-08-17	6.0			1.0
2013-08-19	206	1	2765.0	33	2013-08-19	1.0			0.0
2013-08-20	207	2	2281.0	33	2013-08-20	2.0			0.0
2013-08-21	208	3	1064.0	33	2013-08-21	3.0			0.0
2013-08-22	209	4	1438.0	33	2013-08-22	4.0			0.0
2013-08-23	210	5	1698.0	33	2013-08-23	5.0			0.0
2013-08-24	211	6	122.0	33	2013-08-24	6.0			1.0
2013-08-25	212	7	14.0	33	2013-08-25	7.0			1.0
2013-08-26	213	1	2106.0	34	2013-08-26	1.0			0.0
2013-08-27	214	2	1811.0	34	2013-08-27	2.0			0.0
2013-08-28	215	3	1751.0	34	2013-08-28	3.0			0.0
2013-08-29	216	4	1433.0	34	2013-08-29	4.0			0.0
2013-08-30	217	5	1034.0	34	2013-08-30	5.0			0.0
2013-08-31	218	6	73.0	34	2013-08-31	6.0			1.0
2013-09-01	219	7	26.0	34	2013-09-01	7.0			1.0
2013-09-02	220	1	1775.0	35	2013-09-02	1.0			0.0
2013-09-03	221	2	2032.0	35	2013-09-03	2.0			0.0
2013-09-04	222	3	1607.0	35	2013-09-04	3.0			0.0
2013-09-05	223	4	861.0	35	2013-09-05	4.0			0.0
2013-09-06	224	5	1534.0	35	2013-09-06	5.0			0.0
2013-09-07	225	6	371.0	35	2013-09-07	6.0			1.0
2013-09-09	226	1	1794.0	36	2013-09-09	1.0			0.0
2013-09-10	227	2	1965.0	36	2013-09-10	2.0			0.0
2013-09-11	228	3	1408.0	36	2013-09-11	3.0			0.0
2013-09-12	229	4	1762.0	36	2013-09-12	4.0			0.0
2013-09-13	230	5	1329.0	36	2013-09-13	5.0			0.0
2013-09-14	231	6	188.0	36	2013-09-14	6.0			1.0
2013-09-16	232	1	2288.0	37	2013-09-16	1.0			0.0
2013-09-17	233	2	1900.0	37	2013-09-17	2.0			0.0
2013-09-18	234	3	2101.0	37	2013-09-18	3.0			0.0
2013-09-19	235	4	48.0	37	2013-09-19	4.0	1.0	1.0	1.0
2013-09-20	236	5	13.0	37	2013-09-20	5.0	1.0	1.0	1.0
2013-09-22	237	7	2933.0	37	2013-09-22	7.0	0.0	1.0	0.0
